,DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live)
,Realized Variance (5-minute),Realized Kernel,Return,Realized Variance (5-minute using 1-minute subsamples),Realized Variance (10-minute),Realized Variance (10-minute using 1-minute subsamples),Bipower Variation (5-minute) ,Bipower Variation (5-minute using 1-minute subsamples) ,Median Truncated Realized Variance,Realized Semivariance (5-minute),Realized Semivariance (5-minute using 1-minute subsamples),Number of Transactions,Time span betwen first and last observation (seconds),Close-to-Open Return,Opening Time (Local in Seconds),High-Low Range,High-Open Range,Opening Price,Closing Price
DateID,DJI2.rv,DJI2.rk,DJI2.r,DJI2.rv5ss,DJI2.rv10,DJI2.rv10ss,DJI2.bv5,DJI2.bv5ss,DJI2.medrv,DJI2.rs,DJI2.rs5ss,DJI2.nobs,DJI2.timespan,DJI2.rcto,DJI2.open,DJI2.highlow,DJI2.highopen,DJI2.openprice,DJI2.closeprice
20000103,0.000124352,0.000135189,-0.013011773,0.00012438,0.000127413,0.000142223,0.000140847,0.000132621,9.71E-05,8.04E-05,7.91E-05,11079,23398.162,,34204.063,0.018809442,0.001718246,11501.85,11353.16
20000104,0.000210915,0.000158958,-0.031206812,0.000173849,0.000281085,0.000190187,0.000160281,0.000164471,0.000114047,0.00016097,0.000122629,11110,23397.947,,34205.385,0.03248297,2.73E-05,11349.75,11001.03
20000105,0.000210798,0.000196447,0.012500965,0.00021809,0.000251408,0.000218892,0.000243469,0.000230957,0.000126644,8.22E-05,8.85E-05,11097,23398.663,,34211.308,-0.024893573,0.020305001,10989.37,11127.61
20000106,0.00011409,0.000124273,0.011985436,0.000120178,8.81E-05,0.000104403,9.86E-05,0.000100626,7.50E-05,4.28E-05,4.82E-05,10982,23398.445,,34203.94,-0.018990194,0.017761189,11113.37,11247.37
20000107,0.000121511,9.57E-05,0.024092471,0.000114892,0.000154493,0.000106826,8.55E-05,9.01E-05,5.41E-05,3.18E-05,3.00E-05,11007,23397.727,,34203.53,-0.025319276,0.024684242,11247.06,11521.32
20000110,7.23E-05,8.20E-05,0.003786456,7.23E-05,7.51E-05,6.68E-05,5.99E-05,6.36E-05,4.55E-05,2.74E-05,3.12E-05,10849,23399.598,,34207.254,-0.009078989,0.009078989,11532.48,11576.23
20000111,6.78E-05,7.75E-05,-0.004542448,7.36E-05,7.15E-05,7.20E-05,6.69E-05,6.88E-05,6.20E-05,4.30E-05,4.28E-05,11204,23397.709,,34210.111,0.013740426,0.008146718,11568.47,11516.04
20000112,0.000100733,0.000105231,0.003794913,9.49E-05,7.29E-05,7.91E-05,0.000106896,9.31E-05,6.85E-05,4.84E-05,4.24E-05,11293,23399.152,,34208.484,-0.009233432,0.009152606,11506.73,11550.48
20000113,6.69E-05,7.83E-05,0.00230565,7.41E-05,7.29E-05,6.33E-05,6.12E-05,6.85E-05,5.66E-05,3.17E-05,3.78E-05,11028,23398.504,,34204.735,-0.011322476,0.008419035,11558.24,11584.92
20000114,8.47E-05,8.31E-05,0.008005326,8.55E-05,1.00E-04,8.89E-05,8.23E-05,7.86E-05,5.95E-05,3.43E-05,3.83E-05,11382,23397.941,,34203.065,-0.011753083,0.011178876,11619.35,11712.74
20000117,,,,,,,,,,,,,,,,,,,
20000118,0.000117329,8.77E-05,-0.013085285,0.000103015,0.000168911,0.000105622,0.000118744,8.92E-05,5.50E-05,8.62E-05,7.39E-05,11182,23398.379,,34202.73,0.01474918,0,11719.19,11566.84
20000119,6.29E-05,6.04E-05,-0.00401229,6.32E-05,6.83E-05,6.11E-05,6.09E-05,5.90E-05,4.53E-05,3.85E-05,3.87E-05,10912,23398.899,,34203.259,0.010305471,0.003413256,11535.24,11489.05
